username,num_of_stars,review,time
Jibz,5,I love this jacket so much!! Perfect for a rainy spring dogwalk! And easy to pack up if you get too warm and the rain stops :),7 days ago
Ann B,5,"[This review was collected as part of a promotion.] This is a fairly priced hip length raincoat. Rich color, long enough sleeves ( I have long arms for a 5・2； woman). There is room for a light sweater but I live in Fl and bought it for the hot humid weather.",13 days ago
Coastal Gal,5,[This review was collected as part of a promotion.] Nice rain jacket. Wasn・t sure on size but went with the larger size so I could layer and is perfect.,a month ago
Kathy0946,5,"Fit runs SMALL, especially if you might wear it over a long sleeve shirt and a sweater or flannel shirt.",2 months ago
Shelly81,5,[This review was collected as part of a promotion.] This is a very comfortable jacket that will keep you dry. I am very pleased with my purchase.,2 months ago
Amanda D,5,[This review was collected as part of a promotion.] Gorgeous color and fit! Such high quality! Can・t wait to wear it. True to size!!,2 months ago
ctequestrian,5,"[This review was collected as part of a promotion.] I haven't put this jacket to the full test of a drenching rain yet, but it's breathable and waterproof on the initial wear. I wish it was a little longer, but other than that, it seems like a great choice.",3 months ago
Mel's Husband,5,[This review was collected as part of a promotion.] Great summer rain jacket in a great color. Helps block the wind and keep you dry.,3 months ago
Anonymous,5,[This review was collected as part of a promotion.] My daughter is an avid walker and needed a light weight but reliable rain proof jacket. She especially likes the chin and hood cap for complete coverage.,3 months ago
Columbia Kid,5,Very comfortable fit. Nice colour and fit. Only wore it once after Christmas but it provided protection in a light rain.,3 months ago
LBH,5,"[This review was collected as part of a promotion.] This is the third Columbia rain jacket I・ve purchased in the last 6 months. This one was a gift for my daughter. The quality and design is always consistent. It is the only breathable, waterproof raincoat I will ever own! Love the Acadia line.",3 months ago
Marline,5,"[This review was collected as part of a promotion.] This jacket is sleek, perfect for the rain and wind. Fits true to size. Can dress it up or down!",3 months ago
Mark,5,[This review was collected as part of a promotion.] Gave this to my Wife for Xmas. She LOVES is and it is perfect for everything she wanted.,3 months ago
Terry,5,[This review was collected as part of a promotion.] This appears to be a well-made rain jacket. The lining seems adequate for being waterproof. It・s very lightweight which is what I wanted. It is true to size.,3 months ago
Ouarda amimer,5,"[This review was collected as part of a promotion.] I bought the jacket for my daughter, fit to size great quality and material. She loved it.",3 months ago
momof3,5,I was so excited to get this jacket but the large fits like a medium. So I am returning it.,4 months ago
M,5,[This review was collected as part of a promotion.] Oh my goodness. The raincoat is amazing!!! I loved the pockets and it was cozy when I layered myself with other sweaters. The color is amazing and the fit was wonderful,4 months ago
Becca,5,[This review was collected as part of a promotion.] This rain jacket is perfect used in downpours at a theme park and out camping and it kept me dry.,5 months ago
